"SEO 2008 Code","SEO 2008 Name"
"920299","Health and Support Services not elsewhere classified"
"920301","Aboriginal and Torres Strait Islander Health - Determinants of Health"
"920302","Aboriginal and Torres Strait Islander Health - Health Status and Outcomes"
"920303","Aboriginal and Torres Strait Islander Health - Health System Performance (incl. Effectiveness of Interventions)"
"920304","Maori Health - Determinants of Health"
"920305","Maori Health - Health Status and Outcomes"
"920306","Maori Health - Health System Performance (incl. Effectiveness of Interventions)"
"920307","Pacific Peoples Health - Determinants of Health"
"920308","Pacific Peoples Health - Health Status and Outcomes"
"920309","Pacific Peoples Health - Health System Performance (incl. Effectiveness of Interventions)"
"920399","Indigenous Health not elsewhere classified"
"920401","Behaviour and Health"
"920402","Dental Health"
"920403","Disability and Functional Capacity"
"920404","Disease Distribution and Transmission (incl. Surveillance and Response)"
"920405","Environmental Health"
"920406","Food Safety"
"920407","Health Protection and/or Disaster Response"
"920408","Health Status (e.g. Indicators of Well-Being)"
"920409","Injury Control"
"920410","Mental Health"
"920411","Nutrition"
"920412","Preventive Medicine"
"920413","Social Structure and Health"
"920414","Substance Abuse"
"920499","Public Health (excl. Specific Population Health) not elsewhere classified"
"920501","Child Health"
"920502","Health Related to Ageing"
"920503","Health Related to Specific Ethnic Groups"
"920504","Men's Health"
"920505","Occupational Health"
"920506","Rural Health"
"920507","Women's Health"
"920599","Specific Population Health (excl. Indigenous Health) not elsewhere classified"
"929999","Health not elsewhere classified"
"930101","Learner and Learning Achievement"
"930102","Learner and Learning Processes"
"930103","Learner Development"
"930104","Moral and Social Development (incl. Affect)"
"930199","Learner and Learning not elsewhere classified"
"930201","Pedagogy"
"930202","Teacher and Instructor Development"
"930203","Teaching and Instruction Technologies"
"930299","Teaching and Instruction not elsewhere classified"
"930301","Assessment and Evaluation of Curriculum"
"930302","Syllabus and Curriculum Development"
"930399","Curriculum not elsewhere classified"
"930401","Management and Leadership of Schools/Institutions"
"930402","School/Institution Community and Environment"
"930403","School/Institution Policies and Development"
"930499","School/Institution not elsewhere classified"
"930501","Education and Training Systems Policies and Development"
"930502","Management of Education and Training Systems"
"930503","Resourcing of Education and Training Systems"
"930599","Education and Training Systems not elsewhere classified"
"939901","Aboriginal and Torres Strait Islander Education"
"939902","Education and Training Theory and Methodology"
"939903","Equity and Access to Education"
"939904","Gender Aspects of Education"
"939905","Maori Education"
"939906","Pacific Peoples Education"
"939907","Special Needs Education"
"939908","Workforce Transition and Employment"
"939999","Education and Training not elsewhere classified"
"940101","Ability and Disability"
"940102","Aboriginal and Torres Strait Islander Development and Welfare"
"940103","Ageing and Older People"
"940104","Carers' Development and Welfare"
"940105","Children's/Youth Services and Childcare"
"940106","Citizenship and National Identity"
"940107","Comparative Structure and Development of Community Services"
"940108","Distribution of Income and Wealth"
"940109","Employment Services"
"940110","Environmental Services"
"940111","Ethnicity, Multiculturalism and Migrant Development and Welfare"
"940112","Families and Family Services"
"940113","Gender and Sexualities"
"940114","Maori Development and Welfare"
"940115","Pacific Peoples Development and Welfare"
"940116","Social Class and Inequalities"
"940117","Structure, Delivery and Financing of Community Services"
"940199","Community Service (excl. Work) not elsewhere classified"
"940201","Civics and Citizenship"
"940202","Electoral Systems"
"940203","Political Systems"
"940204","Public Services Policy Advice and Analysis"
"940299","Government and Politics not elsewhere classified"
"940301","Defence and Security Policy"
"940302","International Aid and Development"
"940303","International Organisations"
"940304","International Political Economy (excl. International Trade)"
"940399","International Relations not elsewhere classified"
"940401","Civil Justice"
"940402","Crime Prevention"
"940403","Criminal Justice"
"940404","Law Enforcement"
"940405","Law Reform"
"940406","Legal Processes"
"940407","Legislation, Civil and Criminal Codes"
"940408","Rehabilitation and Correctional Services"
"940499","Justice and the Law not elsewhere classified"
"940501","Employment Patterns and Change"
"940502","Professions and Professionalisation"
"940503","Time Use, Unpaid Work and Volunteering"
"940504","Work and Family Responsibilities"
"940505","Workplace Safety"
"940599","Work and Institutional Development not elsewhere classified"
"949999","Law, Politics and Community Services not elsewhere classified"
"950101","Music"
"950102","Organised Sports"
"950103","Recreation"
"950104","The Creative Arts (incl. Graphics and Craft)"
"950105","The Performing Arts (incl. Theatre and Dance)"
"950199","Arts and Leisure not elsewhere classified"
"950201","Communication Across Languages and Culture"
"950202","Languages and Literacy"
"950203","Languages and Literature"
"950204","The Media"
"950205","Visual Communication"
"950299","Communication not elsewhere classified"
"950301","Āhuatanga Māori (Māori Tradition)"
"950302","Conserving Aboriginal and Torres Strait Islander Heritage"
"950303","Conserving Collections and Movable Cultural Heritage"
"950304","Conserving Intangible Cultural Heritage"
"950305","Conserving Natural Heritage"
"950306","Conserving Pacific Peoples Heritage"
"950307","Conserving the Historic Environment"
"950308","Mātauranga Māori (Māori Knowledge)"
"950309","Taonga (Māori Artefacts)"
"950310","Tikanga Māori (Māori Customary Practices) "
"950311","Wahi Taonga (Māori Places of Significance)"
"950399","Heritage not elsewhere classified"
"950401","Bioethics"
"950402","Business Ethics"
"950403","Environmental Ethics"
"950404","Religion and Society"
"950405","Religious Structures and Ritual"
"950406","Religious Traditions (excl. Structures and Rituals)"
"950407","Social Ethics"
"950408","Technological Ethics"
"950409","Workplace and Organisational Ethics"
"950499","Religion and Ethics not elsewhere classified"
"950501","Understanding Africa's Past"
"950502","Understanding Asia's Past"
"950503","Understanding Australia's Past"
"950504","Understanding Europe's Past"
"950505","Understanding New Zealand's Past"
"950506","Understanding the Past of the Americas"
"950599","Understanding Past Societies not elsewhere classified"
"959999","Cultural Understanding not elsewhere classified"
"960101","Antarctic and Sub-Antarctic Air Quality"
"960102","Coastal and Estuarine Air Quality"
"960103","Farmland, Arable Cropland and Permanent Cropland Air Quality"
"960104","Marine Air Quality"
"960105","Mining Air Quality"
"960106","Urban and Industrial Air Quality"
"960199","Air Quality not elsewhere classified"
"960201","Atmospheric Composition (incl. Greenhouse Gas Inventory)"
"960202","Atmospheric Processes and Dynamics"
"960203","Weather"
"960299","Atmosphere and Weather not elsewhere classified"
"960301","Climate Change Adaptation Measures"
"960302","Climate Change Mitigation Strategies"
"960303","Climate Change Models"
"960304","Climate Variability (excl. Social Impacts)"
"960305","Ecosystem Adaptation to Climate Change"
"960306","Effects of Climate Change and Variability on Antarctic and Sub-Antarctic Environments (excl. Social Impacts)"
"960307","Effects of Climate Change and Variability on Australia (excl. Social Impacts)"
"960308","Effects of Climate Change and Variability on New Zealand (excl. Social Impacts)"
