Date: 01-10-09

Time: 13:10:54



Exp. Conditions:

Cyclic voltammetry

Start potential (V) = .0000

First vertex potential (V) = 1.5000

Second vertex potential (V) = -.2979

Step potential (V) = .00244

Scan rate (V/s) = .15001

Equilibration time (s) = 1

Number of Data Points =  1474 



 Potential	  Scan 1   	  Scan 2   	  Scan 3   	  Scan 4   	  Scan 5   	  Scan 6   	  Scan 7   	  Scan 8   	  Scan 9   	  Scan 10   	  Scan 11   	  Scan 12   	  Scan 13   	  Scan 14   	  Scan 15   	  Scan 16   	  Scan 17   	  Scan 18   	  Scan 19   	  Scan 20   	

 0.104980	-2.467957E-06	-1.966248E-06	-1.767578E-06	-1.603394E-06	-1.530457E-06	-1.448975E-06	-1.412048E-06	-1.289978E-06	-1.176147E-06	-1.148376E-06	-1.116028E-06	-1.072388E-06	-1.064148E-06	-1.030273E-06	-1.022949E-06	-9.799194E-07	-9.594727E-07	-9.320068E-07	-9.179688E-07	-9.027100E-07

 0.107422	-2.452393E-06	-1.951599E-06	-1.755981E-06	-1.594543E-06	-1.523132E-06	-1.439209E-06	-1.403503E-06	-1.280212E-06	-1.166382E-06	-1.136780E-06	-1.107483E-06	-1.063538E-06	-1.052551E-06	-1.024780E-06	-1.017761E-06	-9.725952E-07	-9.481812E-07	-9.292603E-07	-9.060669E-07	-8.929443E-07

 0.109863	-2.435608E-06	-1.941833E-06	-1.747131E-06	-1.585693E-06	-1.512451E-06	-1.426086E-06	-1.395874E-06	-1.273804E-06	-1.156006E-06	-1.126404E-06	-1.098328E-06	-1.053772E-06	-1.047363E-06	-1.010132E-06	-1.011658E-06	-9.689331E-07	-9.387207E-07	-9.213257E-07	-9.002686E-07	-8.853149E-07

 0.112305	-2.420959E-06	-1.930542E-06	-1.736145E-06	-1.571045E-06	-1.497192E-06	-1.411438E-06	-1.379700E-06	-1.257629E-06	-1.151428E-06	-1.118164E-06	-1.093140E-06	-1.039734E-06	-1.040649E-06	-1.003418E-06	-9.994507E-07	-9.561157E-07	-9.262085E-07	-9.103394E-07	-8.935547E-07	-8.782959E-07

 0.114746	-2.399292E-06	-1.918030E-06	-1.724243E-06	-1.555481E-06	-1.482239E-06	-1.397705E-06	-1.369629E-06	-1.247559E-06	-1.141663E-06	-1.112366E-06	-1.082458E-06	-1.032715E-06	-1.032104E-06	-9.945679E-07	-9.899902E-07	-9.475708E-07	-9.197998E-07	-8.999634E-07	-8.877563E-07	-8.746338E-07

 0.117188	-2.380066E-06	-1.899414E-06	-1.708069E-06	-1.544189E-06	-1.474609E-06	-1.391296E-06	-1.357422E-06	-1.233521E-06	-1.129456E-06	-1.102600E-06	-1.069946E-06	-1.026306E-06	-1.020508E-06	-9.866333E-07	-9.762573E-07	-9.347534E-07	-9.149170E-07	-8.901978E-07	-8.743286E-07	-8.605957E-07

 0.119629	-2.360840E-06	-1.886292E-06	-1.695557E-06	-1.534729E-06	-1.466370E-06	-1.382141E-06	-1.349792E-06	-1.227417E-06	-1.117249E-06	-1.093140E-06	-1.059875E-06	-1.019287E-06	-1.009216E-06	-9.799194E-07	-9.719849E-07	-9.301758E-07	-9.072876E-07	-8.862305E-07	-8.654785E-07	-8.538818E-07

 0.122070	-2.348022E-06	-1.873169E-06	-1.682434E-06	-1.528015E-06	-1.457825E-06	-1.372070E-06	-1.342468E-06	-1.219788E-06	-1.109009E-06	-1.078796E-06	-1.050415E-06	-1.008606E-06	-1.003113E-06	-9.713745E-07	-9.622192E-07	-9.225464E-07	-8.969116E-07	-8.782959E-07	-8.581543E-07	-8.422852E-07

